"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест получения количества заказов без ID курьера","281","test_get_orders_count_without_id","tests.couirer","2025-11-10","failed","2025-11-10","TestCourierOperations","test_courier_operations","",""
"Тест удаления курьера без ID","257","test_delete_courier_without_id","tests.couirer","2025-11-10","failed","2025-11-10","TestCourierOperations","test_courier_operations","",""
"Тест пагинации списка заказов","14946","test_get_orders_list_with_pagination","tests.order","2025-11-10","passed","2025-11-10","TestOrderList","test_order_list","",""
"Тест создания курьера с недостаточными данными","284","test_create_courier_missing_data[invalid_data0]","tests.couirer","2025-11-10","passed","2025-11-10","TestCourierCreation","test_courier_creation","",""
"Тест создания курьера с недостаточными данными","263","test_create_courier_missing_data[invalid_data2]","tests.couirer","2025-11-10","failed","2025-11-10","TestCourierCreation","test_courier_creation","",""
"Тест создания заказа с разными цветами","1180","test_create_order_with_different_colors","tests.order","2025-11-10","passed","2025-11-10","TestOrderCreation","test_order_creation","",""
"Тест принятия несуществующего заказа","272","test_accept_nonexistent_order","tests.order","2025-11-10","failed","2025-11-10","TestOrderOperations","test_order_operations","",""
"Тест успешного создания курьера","1006","test_create_courier_success","tests.couirer","2025-11-10","passed","2025-11-10","TestCourierCreation","test_courier_creation","",""
"Тест успешного логина курьера","283","test_login_success","tests.couirer","2025-11-10","passed","2025-11-10","TestCourierLogin","test_courier_login","",""
"Тест удаления несуществующего курьера","282","test_delete_nonexistent_courier","tests.couirer","2025-11-10","passed","2025-11-10","TestCourierOperations","test_courier_operations","",""
"Тест логина с недостаточными данными","269","test_login_missing_data[invalid_data0]","tests.couirer","2025-11-10","passed","2025-11-10","TestCourierLogin","test_courier_login","",""
"Тест получения заказа по трекингу","299","test_get_order_by_track","tests.order","2025-11-10","passed","2025-11-10","TestOrderCreation","test_order_creation","",""
"Тест отмены заказа","273","test_cancel_order","tests.order","2025-11-10","passed","2025-11-10","TestOrderOperations","test_order_operations","",""
"Тест логина с неверными учетными данными","268","test_login_wrong_credentials","tests.couirer","2025-11-10","failed","2025-11-10","TestCourierLogin","test_courier_login","",""
"Тест успешного создания заказа","548","test_create_order_success","tests.order","2025-11-10","passed","2025-11-10","TestOrderCreation","test_order_creation","",""
"Тест принятия заказа курьером","628","test_accept_order","tests.order","2025-11-10","passed","2025-11-10","TestOrderOperations","test_order_operations","",""
"Тест получения списка заказов с courierId","411","test_get_orders_list_with_courier_id","tests.order","2025-11-10","passed","2025-11-10","TestOrderList","test_order_list","",""
"Тест получения количества заказов курьера","273","test_get_courier_orders_count","tests.couirer","2025-11-10","failed","2025-11-10","TestCourierOperations","test_courier_operations","",""
"Тест успешного удаления курьера","289","test_delete_courier_success","tests.couirer","2025-11-10","passed","2025-11-10","TestCourierOperations","test_courier_operations","",""
"Тест завершения заказа","917","test_finish_order","tests.order","2025-11-10","failed","2025-11-10","TestOrderOperations","test_order_operations","",""
"Тест логина с недостаточными данными","259","test_login_missing_data[invalid_data2]","tests.couirer","2025-11-10","passed","2025-11-10","TestCourierLogin","test_courier_login","",""
"Тест получения списка заказов с ограничением количества","7453","test_get_orders_list_with_limit","tests.order","2025-11-10","passed","2025-11-10","TestOrderList","test_order_list","",""
"Тест получения списка заказов с несуществующим courierId","270","test_get_orders_list_nonexistent_courier","tests.order","2025-11-10","passed","2025-11-10","TestOrderList","test_order_list","",""
"Тест получения количества заказов несуществующего курьера","266","test_get_orders_count_nonexistent_courier","tests.couirer","2025-11-10","failed","2025-11-10","TestCourierOperations","test_courier_operations","",""
"Тест получения списка заказов с параметрами по умолчанию","9150","test_get_orders_list_default","tests.order","2025-11-10","passed","2025-11-10","TestOrderList","test_order_list","",""
"Тест создания курьера с дублирующимся логином","288","test_create_duplicate_courier","tests.couirer","2025-11-10","failed","2025-11-10","TestCourierCreation","test_courier_creation","",""
"Тест создания курьера с недостаточными данными","252","test_create_courier_missing_data[invalid_data1]","tests.couirer","2025-11-10","passed","2025-11-10","TestCourierCreation","test_courier_creation","",""
"Тест логина с недостаточными данными","274","test_login_missing_data[invalid_data1]","tests.couirer","2025-11-10","passed","2025-11-10","TestCourierLogin","test_courier_login","",""
